Source,z/r,z/r_err,Line
DM Tau,0.344991564,0.066958312,J=3-2
AA Tau,0.414996014,0.044782669,J=3-2
LkCa 15,0.339666272,0.042978767,J=3-2
HD 34282,0.408766586,0.039757812,J=3-2
MWC 758,0.293515123,0.125272058,J=3-2
CQ Tau,0.165257132,0.090821999,J=3-2
SY Cha,0.294268716,0.055080536,J=3-2
PDS 66,0.115750761,0.052077017,J=3-2
HD 143006,0.403323734,0.16121742,J=3-2
RXJ1615.3-3255,0.341299895,0.05961603,J=3-2
V4046 Sgr,0.127364559,0.052251512,J=3-2
RXJ1842.9-3532,0.197307539,0.04754748,J=3-2
RXJ1852.3-3700,0.145981544,0.053722603,J=3-2